,STATENAM,YEAR,CROP,PROD
59,MADHYA_PRADESH,1960,QWHEAT,1951.1
60,GUJARAT,1960,QWHEAT,268.2
61,TAMIL_NADU,1960,QWHEAT,0.0
62,MAHARASHTRA,1960,QWHEAT,394.8
63,KARNATAKA,1960,QWHEAT,77.0
64,BIHAR,1960,QWHEAT,442.582
65,HARYANA,1961,QWHEAT,848.242
66,PUNJAB,1961,QWHEAT,1810.828
67,ANDHRA_PRADESH,1961,QWHEAT,4.7
68,MADHYA_PRADESH,1961,QWHEAT,2174.2
69,RAJASTHAN,1961,QWHEAT,1267.9
70,WEST_BENGAL,1961,QWHEAT,34.3127794
71,TAMIL_NADU,1961,QWHEAT,0.0
72,GUJARAT,1961,QWHEAT,380.6
73,UTTAR_PRADESH,1961,QWHEAT,4000.853
74,ORISSA,1961,QWHEAT,4.306
75,BIHAR,1961,QWHEAT,522.64
76,MAHARASHTRA,1961,QWHEAT,415.8
77,KARNATAKA,1961,QWHEAT,69.6
78,BIHAR,1962,QWHEAT,529.311
79,TAMIL_NADU,1962,QWHEAT,0.0
80,MADHYA_PRADESH,1962,QWHEAT,2150.7
81,ORISSA,1962,QWHEAT,4.468999999999999
82,WEST_BENGAL,1962,QWHEAT,30.6372883
83,UTTAR_PRADESH,1962,QWHEAT,3035.113
84,ANDHRA_PRADESH,1962,QWHEAT,4.6
85,KARNATAKA,1962,QWHEAT,87.7
86,HARYANA,1962,QWHEAT,793.342
87,MAHARASHTRA,1962,QWHEAT,455.6
88,GUJARAT,1962,QWHEAT,279.8
89,PUNJAB,1962,QWHEAT,1888.471
90,RAJASTHAN,1962,QWHEAT,1089.1
91,MADHYA_PRADESH,1963,QWHEAT,1916.6
92,WEST_BENGAL,1963,QWHEAT,32.4424373
93,PUNJAB,1963,QWHEAT,1933.854
94,RAJASTHAN,1963,QWHEAT,871.3
95,ANDHRA_PRADESH,1963,QWHEAT,5.2
96,UTTAR_PRADESH,1963,QWHEAT,2579.715
97,KARNATAKA,1963,QWHEAT,93.1
98,ORISSA,1963,QWHEAT,8.169
99,TAMIL_NADU,1963,QWHEAT,0.0
100,HARYANA,1963,QWHEAT,813.712
101,MAHARASHTRA,1963,QWHEAT,342.1
102,GUJARAT,1963,QWHEAT,362.8
103,BIHAR,1963,QWHEAT,417.208
104,ANDHRA_PRADESH,1964,QWHEAT,4.4
105,MAHARASHTRA,1964,QWHEAT,407.6
106,ORISSA,1964,QWHEAT,7.207999999999999
107,GUJARAT,1964,QWHEAT,416.3
108,PUNJAB,1964,QWHEAT,2428.032
109,HARYANA,1964,QWHEAT,899.0
110,WEST_BENGAL,1964,QWHEAT,27.9522214
111,BIHAR,1964,QWHEAT,417.82800000000003
112,UTTAR_PRADESH,1964,QWHEAT,3942.908
113,KARNATAKA,1964,QWHEAT,107.7
114,TAMIL_NADU,1964,QWHEAT,0.0
115,RAJASTHAN,1964,QWHEAT,1103.4
116,MADHYA_PRADESH,1964,QWHEAT,1977.6
117,KARNATAKA,1965,QWHEAT,46.9
118,MAHARASHTRA,1965,QWHEAT,304.5
119,UTTAR_PRADESH,1965,QWHEAT,3565.225
120,HARYANA,1965,QWHEAT,875.1
121,ORISSA,1965,QWHEAT,10.253
122,MADHYA_PRADESH,1965,QWHEAT,1326.6
123,RAJASTHAN,1965,QWHEAT,785.0
124,ANDHRA_PRADESH,1965,QWHEAT,2.1
125,WEST_BENGAL,1965,QWHEAT,34.0202634
126,BIHAR,1965,QWHEAT,469.25800000000004
127,PUNJAB,1965,QWHEAT,1943.0
128,TAMIL_NADU,1965,QWHEAT,0.0
129,GUJARAT,1965,QWHEAT,553.7
130,BIHAR,1966,QWHEAT,371.662
131,ANDHRA_PRADESH,1966,QWHEAT,2.8
132,KARNATAKA,1966,QWHEAT,41.2
133,UTTAR_PRADESH,1966,QWHEAT,4003.163
134,HARYANA,1966,QWHEAT,1027.0
135,ORISSA,1966,QWHEAT,14.197000000000001
136,MADHYA_PRADESH,1966,QWHEAT,1030.8
137,MAHARASHTRA,1966,QWHEAT,366.8
138,GUJARAT,1966,QWHEAT,457.6
139,TAMIL_NADU,1966,QWHEAT,0.0
140,PUNJAB,1966,QWHEAT,2484.2
141,RAJASTHAN,1966,QWHEAT,872.0
142,WEST_BENGAL,1966,QWHEAT,45.5599696
143,MADHYA_PRADESH,1967,QWHEAT,1880.1
144,RAJASTHAN,1967,QWHEAT,1319.0
145,BIHAR,1967,QWHEAT,913.289
146,MAHARASHTRA,1967,QWHEAT,351.6
147,TAMIL_NADU,1967,QWHEAT,0.0
148,ORISSA,1967,QWHEAT,15.335999999999999
149,WEST_BENGAL,1967,QWHEAT,70.7239283
150,HARYANA,1967,QWHEAT,1380.0
151,GUJARAT,1967,QWHEAT,687.3
152,KARNATAKA,1967,QWHEAT,104.6
153,UTTAR_PRADESH,1967,QWHEAT,5502.45
154,ANDHRA_PRADESH,1967,QWHEAT,2.7
155,PUNJAB,1967,QWHEAT,3358.0
156,HARYANA,1968,QWHEAT,1509.119
157,KARNATAKA,1968,QWHEAT,157.3
158,ANDHRA_PRADESH,1968,QWHEAT,3.0
159,WEST_BENGAL,1968,QWHEAT,127.3627
160,PUNJAB,1968,QWHEAT,4488.0
161,UTTAR_PRADESH,1968,QWHEAT,5706.147
162,BIHAR,1968,QWHEAT,1025.63
163,MADHYA_PRADESH,1968,QWHEAT,1938.1
164,ORISSA,1968,QWHEAT,17.217
165,TAMIL_NADU,1968,QWHEAT,0.0
166,RAJASTHAN,1968,QWHEAT,1174.0
167,MAHARASHTRA,1968,QWHEAT,413.1
168,GUJARAT,1968,QWHEAT,590.2
169,WEST_BENGAL,1969,QWHEAT,147.8366
170,TAMIL_NADU,1969,QWHEAT,0.0
171,RAJASTHAN,1969,QWHEAT,1258.0
172,UTTAR_PRADESH,1969,QWHEAT,6133.889
173,ANDHRA_PRADESH,1969,QWHEAT,4.1
174,BIHAR,1969,QWHEAT,1020.1160000000001
175,PUNJAB,1969,QWHEAT,4929.912
176,HARYANA,1969,QWHEAT,2088.0
177,KARNATAKA,1969,QWHEAT,145.4
178,MADHYA_PRADESH,1969,QWHEAT,2298.1
179,GUJARAT,1969,QWHEAT,628.1
180,ORISSA,1969,QWHEAT,18.3
181,MAHARASHTRA,1969,QWHEAT,387.8
182,MAHARASHTRA,1970,QWHEAT,447.5
183,GUJARAT,1970,QWHEAT,973.5
184,ANDHRA_PRADESH,1970,QWHEAT,10.3
185,PUNJAB,1970,QWHEAT,4963.0
186,TAMIL_NADU,1970,QWHEAT,0.0
187,MADHYA_PRADESH,1970,QWHEAT,2591.0
188,HARYANA,1970,QWHEAT,2310.0
189,UTTAR_PRADESH,1970,QWHEAT,7403.194
190,BIHAR,1970,QWHEAT,1192.0839999999998
191,WEST_BENGAL,1970,QWHEAT,235.4422
192,KARNATAKA,1970,QWHEAT,130.2
193,ORISSA,1970,QWHEAT,20.262
194,RAJASTHAN,1970,QWHEAT,1951.0
195,ORISSA,1971,QWHEAT,31.361
196,PUNJAB,1971,QWHEAT,5479.0
197,GUJARAT,1971,QWHEAT,808.2
198,MADHYA_PRADESH,1971,QWHEAT,3188.6
199,KARNATAKA,1971,QWHEAT,205.6
200,TAMIL_NADU,1971,QWHEAT,0.0
201,MAHARASHTRA,1971,QWHEAT,495.5
202,BIHAR,1971,QWHEAT,2093.735
203,ANDHRA_PRADESH,1971,QWHEAT,10.7
204,RAJASTHAN,1971,QWHEAT,1889.0
205,WEST_BENGAL,1971,QWHEAT,340.2862
206,UTTAR_PRADESH,1971,QWHEAT,7277.491
207,HARYANA,1971,QWHEAT,2351.0
208,ANDHRA_PRADESH,1972,QWHEAT,9.7
209,PUNJAB,1972,QWHEAT,5274.0
210,UTTAR_PRADESH,1972,QWHEAT,7181.076
211,HARYANA,1972,QWHEAT,2139.304
212,RAJASTHAN,1972,QWHEAT,1753.0
213,WEST_BENGAL,1972,QWHEAT,316.6019
214,MADHYA_PRADESH,1972,QWHEAT,2282.0
215,BIHAR,1972,QWHEAT,2634.993
216,MAHARASHTRA,1972,QWHEAT,250.6
217,TAMIL_NADU,1972,QWHEAT,0.0
218,ORISSA,1972,QWHEAT,131.702
219,GUJARAT,1972,QWHEAT,555.4
220,KARNATAKA,1972,QWHEAT,112.6
221,GUJARAT,1973,QWHEAT,836.0
222,TAMIL_NADU,1973,QWHEAT,0.0
223,HARYANA,1973,QWHEAT,1761.016
224,ORISSA,1973,QWHEAT,82.756
225,MAHARASHTRA,1973,QWHEAT,546.9
226,PUNJAB,1973,QWHEAT,4679.0
227,MADHYA_PRADESH,1973,QWHEAT,2537.1
228,RAJASTHAN,1973,QWHEAT,1791.0
229,WEST_BENGAL,1973,QWHEAT,291.5414
230,KARNATAKA,1973,QWHEAT,208.0
231,UTTAR_PRADESH,1973,QWHEAT,5629.879
232,BIHAR,1973,QWHEAT,1447.239
233,ANDHRA_PRADESH,1973,QWHEAT,13.4
234,ORISSA,1974,QWHEAT,77.95100000000001
235,MADHYA_PRADESH,1974,QWHEAT,2350.2
236,PUNJAB,1974,QWHEAT,5233.0
237,RAJASTHAN,1974,QWHEAT,1816.0
238,GUJARAT,1974,QWHEAT,645.7
239,BIHAR,1974,QWHEAT,1755.5629999999999
240,ANDHRA_PRADESH,1974,QWHEAT,17.8
241,WEST_BENGAL,1974,QWHEAT,395.6828
242,HARYANA,1974,QWHEAT,1900.632
243,TAMIL_NADU,1974,QWHEAT,0.0
244,UTTAR_PRADESH,1974,QWHEAT,6766.003000000001
245,KARNATAKA,1974,QWHEAT,259.3
246,MAHARASHTRA,1974,QWHEAT,754.2
247,WEST_BENGAL,1975,QWHEAT,511.015
248,ANDHRA_PRADESH,1975,QWHEAT,21.7
249,RAJASTHAN,1975,QWHEAT,2288.1
250,MADHYA_PRADESH,1975,QWHEAT,2748.0
251,GUJARAT,1975,QWHEAT,982.5
252,TAMIL_NADU,1975,QWHEAT,0.6
253,UTTAR_PRADESH,1975,QWHEAT,7807.843000000001
254,ORISSA,1975,QWHEAT,107.43700000000001
255,HARYANA,1975,QWHEAT,2353.669
256,KARNATAKA,1975,QWHEAT,277.9
257,BIHAR,1975,QWHEAT,2300.04
258,PUNJAB,1975,QWHEAT,5682.0
259,MAHARASHTRA,1975,QWHEAT,1199.1
260,UTTAR_PRADESH,1976,QWHEAT,8545.4
261,BIHAR,1976,QWHEAT,2409.0
262,ORISSA,1976,QWHEAT,98.365
263,HARYANA,1976,QWHEAT,2517.9
264,ANDHRA_PRADESH,1976,QWHEAT,13.8
265,KARNATAKA,1976,QWHEAT,188.4
266,GUJARAT,1976,QWHEAT,863.0
267,MADHYA_PRADESH,1976,QWHEAT,2334.7
268,MAHARASHTRA,1976,QWHEAT,912.7
269,WEST_BENGAL,1976,QWHEAT,533.6354
270,TAMIL_NADU,1976,QWHEAT,0.0
271,PUNJAB,1976,QWHEAT,6150.0
272,RAJASTHAN,1976,QWHEAT,2295.1
273,GUJARAT,1977,QWHEAT,961.9
274,ORISSA,1977,QWHEAT,127.598
275,ANDHRA_PRADESH,1977,QWHEAT,11.9
276,TAMIL_NADU,1977,QWHEAT,0.6
277,PUNJAB,1977,QWHEAT,6505.0
278,RAJASTHAN,1977,QWHEAT,2608.4
279,MADHYA_PRADESH,1977,QWHEAT,3100.2
280,HARYANA,1977,QWHEAT,2629.0
281,MAHARASHTRA,1977,QWHEAT,979.9
282,BIHAR,1977,QWHEAT,2503.0
283,KARNATAKA,1977,QWHEAT,234.5
284,WEST_BENGAL,1977,QWHEAT,519.7746
285,UTTAR_PRADESH,1977,QWHEAT,9301.4
286,HARYANA,1978,QWHEAT,3114.1
287,RAJASTHAN,1978,QWHEAT,2872.6
288,UTTAR_PRADESH,1978,QWHEAT,10780.3
289,WEST_BENGAL,1978,QWHEAT,441.9936
290,MAHARASHTRA,1978,QWHEAT,927.8
291,TAMIL_NADU,1978,QWHEAT,0.6
292,ANDHRA_PRADESH,1978,QWHEAT,12.8
293,KARNATAKA,1978,QWHEAT,227.4
294,GUJARAT,1978,QWHEAT,1184.3
295,BIHAR,1978,QWHEAT,2503.0
296,MADHYA_PRADESH,1978,QWHEAT,3520.5
297,ORISSA,1978,QWHEAT,113.015
298,PUNJAB,1978,QWHEAT,7225.0
299,TAMIL_NADU,1979,QWHEAT,0.0
300,MAHARASHTRA,1979,QWHEAT,100.8
301,BIHAR,1979,QWHEAT,1882.0
302,PUNJAB,1979,QWHEAT,7371.0
303,HARYANA,1979,QWHEAT,3022.0
304,GUJARAT,1979,QWHEAT,1100.1
305,MADHYA_PRADESH,1979,QWHEAT,2151.9
306,WEST_BENGAL,1979,QWHEAT,504.9274
307,KARNATAKA,1979,QWHEAT,246.1
308,ANDHRA_PRADESH,1979,QWHEAT,10.0
309,UTTAR_PRADESH,1979,QWHEAT,9481.7
310,RAJASTHAN,1979,QWHEAT,2696.0
311,ORISSA,1979,QWHEAT,82.338
312,ANDHRA_PRADESH,1980,QWHEAT,7.8
313,PUNJAB,1980,QWHEAT,7516.0
314,ORISSA,1980,QWHEAT,123.915
315,KARNATAKA,1980,QWHEAT,173.7
316,TAMIL_NADU,1980,QWHEAT,0.4
317,MAHARASHTRA,1980,QWHEAT,93.4
318,UTTAR_PRADESH,1980,QWHEAT,12866.7
319,RAJASTHAN,1980,QWHEAT,2390.0
320,MADHYA_PRADESH,1980,QWHEAT,3149.9
321,HARYANA,1980,QWHEAT,3171.0
322,WEST_BENGAL,1980,QWHEAT,361.5507
323,BIHAR,1980,QWHEAT,2312.0
324,GUJARAT,1980,QWHEAT,1297.6
325,MADHYA_PRADESH,1981,QWHEAT,3216.7
326,RAJASTHAN,1981,QWHEAT,2933.0
327,PUNJAB,1981,QWHEAT,8390.0
328,GUJARAT,1981,QWHEAT,1288.2
329,BIHAR,1981,QWHEAT,2199.0
330,ORISSA,1981,QWHEAT,125.962
331,KARNATAKA,1981,QWHEAT,210.7
332,MAHARASHTRA,1981,QWHEAT,98.9
333,TAMIL_NADU,1981,QWHEAT,0.0
334,HARYANA,1981,QWHEAT,3385.0
335,ANDHRA_PRADESH,1981,QWHEAT,11.0
336,UTTAR_PRADESH,1981,QWHEAT,12609.1
337,WEST_BENGAL,1981,QWHEAT,302.000002
338,WEST_BENGAL,1982,QWHEAT,605.4580000000001
339,GUJARAT,1982,QWHEAT,1267.3
340,RAJASTHAN,1982,QWHEAT,3777.0
341,HARYANA,1982,QWHEAT,4012.0
342,MADHYA_PRADESH,1982,QWHEAT,3639.0
343,BIHAR,1982,QWHEAT,2415.0029999999997
344,KARNATAKA,1982,QWHEAT,227.9
345,ANDHRA_PRADESH,1982,QWHEAT,13.0
346,MAHARASHTRA,1982,QWHEAT,80.3
347,TAMIL_NADU,1982,QWHEAT,0.3
348,ORISSA,1982,QWHEAT,120.959
349,PUNJAB,1982,QWHEAT,8950.0
350,UTTAR_PRADESH,1982,QWHEAT,15018.3
351,MADHYA_PRADESH,1983,QWHEAT,4070.5
352,UTTAR_PRADESH,1983,QWHEAT,15822.6
353,WEST_BENGAL,1983,QWHEAT,854.1619999999999
354,HARYANA,1983,QWHEAT,4102.1
355,KARNATAKA,1983,QWHEAT,206.5
356,ORISSA,1983,QWHEAT,113.22
357,RAJASTHAN,1983,QWHEAT,3450.8
358,TAMIL_NADU,1983,QWHEAT,0.4
359,MAHARASHTRA,1983,QWHEAT,1142.1
360,GUJARAT,1983,QWHEAT,1626.0
361,BIHAR,1983,QWHEAT,2935.2
362,ANDHRA_PRADESH,1983,QWHEAT,9.9
363,PUNJAB,1983,QWHEAT,9213.5
364,MADHYA_PRADESH,1984,QWHEAT,3726.9
365,MAHARASHTRA,1984,QWHEAT,856.5
366,UTTAR_PRADESH,1984,QWHEAT,15790.128999999999
367,ANDHRA_PRADESH,1984,QWHEAT,9.7
368,TAMIL_NADU,1984,QWHEAT,0.25
369,KARNATAKA,1984,QWHEAT,189.592
370,HARYANA,1984,QWHEAT,4213.99998
371,WEST_BENGAL,1984,QWHEAT,812.205
372,PUNJAB,1984,QWHEAT,8801.0
373,GUJARAT,1984,QWHEAT,1329.3
374,RAJASTHAN,1984,QWHEAT,2733.7509999999997
375,BIHAR,1984,QWHEAT,3032.3309999999997
376,ORISSA,1984,QWHEAT,96.262
377,HARYANA,1985,QWHEAT,5014.0
378,TAMIL_NADU,1985,QWHEAT,0.298
379,MADHYA_PRADESH,1985,QWHEAT,4124.7
380,KARNATAKA,1985,QWHEAT,122.986
381,UTTAR_PRADESH,1985,QWHEAT,16231.525
382,ORISSA,1985,QWHEAT,107.91799999999999
383,WEST_BENGAL,1985,QWHEAT,737.6610000000001
384,BIHAR,1985,QWHEAT,2935.6209999999996
385,ANDHRA_PRADESH,1985,QWHEAT,8.2
386,MAHARASHTRA,1985,QWHEAT,644.4
387,GUJARAT,1985,QWHEAT,782.8
388,PUNJAB,1985,QWHEAT,9469.0
389,RAJASTHAN,1985,QWHEAT,3832.1740000000004
390,PUNJAB,1986,QWHEAT,8122.0
391,RAJASTHAN,1986,QWHEAT,3332.9829999999997
392,HARYANA,1986,QWHEAT,4820.99992
393,MADHYA_PRADESH,1986,QWHEAT,3862.8
394,MAHARASHTRA,1986,QWHEAT,536.4
395,TAMIL_NADU,1986,QWHEAT,0.17600000000000002
396,ANDHRA_PRADESH,1986,QWHEAT,6.9
397,GUJARAT,1986,QWHEAT,661.7
398,WEST_BENGAL,1986,QWHEAT,682.63
399,ORISSA,1986,QWHEAT,83.355
400,UTTAR_PRADESH,1986,QWHEAT,17595.634
401,KARNATAKA,1986,QWHEAT,148.785
402,BIHAR,1986,QWHEAT,2863.107
403,UTTAR_PRADESH,1987,QWHEAT,16582.804
404,PUNJAB,1987,QWHEAT,9565.0
405,BIHAR,1987,QWHEAT,2776.574
406,MAHARASHTRA,1987,QWHEAT,633.4
407,ANDHRA_PRADESH,1987,QWHEAT,4.2
408,KARNATAKA,1987,QWHEAT,133.912
409,TAMIL_NADU,1987,QWHEAT,0.062
410,HARYANA,1987,QWHEAT,4627.00003
411,GUJARAT,1987,QWHEAT,351.2
412,RAJASTHAN,1987,QWHEAT,2850.336
413,ORISSA,1987,QWHEAT,80.9
414,MADHYA_PRADESH,1987,QWHEAT,4326.6
415,WEST_BENGAL,1987,QWHEAT,673.91
416,BIHAR,1956,QRICE,3795.153
417,HARYANA,1956,QRICE,82.846
418,WEST_BENGAL,1956,QRICE,4801.670153
419,MADHYA_PRADESH,1956,QRICE,3316.4
420,KARNATAKA,1956,QRICE,1068.7
421,UTTAR_PRADESH,1956,QRICE,2122.327
422,GUJARAT,1956,QRICE,346.0
423,RAJASTHAN,1956,QRICE,87.3
424,ORISSA,1956,QRICE,2303.548
425,ANDHRA_PRADESH,1956,QRICE,2987.8
426,PUNJAB,1956,QRICE,162.425
427,MAHARASHTRA,1956,QRICE,1187.6
428,TAMIL_NADU,1956,QRICE,3247.5
429,MADHYA_PRADESH,1957,QRICE,2118.2
430,MAHARASHTRA,1957,QRICE,1173.9
431,WEST_BENGAL,1957,QRICE,4364.424227
432,UTTAR_PRADESH,1957,QRICE,2139.964
433,HARYANA,1957,QRICE,108.495
434,ORISSA,1957,QRICE,1728.609
435,TAMIL_NADU,1957,QRICE,3185.7
436,ANDHRA_PRADESH,1957,QRICE,2849.5
437,GUJARAT,1957,QRICE,231.1
438,KARNATAKA,1957,QRICE,1189.4
439,RAJASTHAN,1957,QRICE,21.8
440,BIHAR,1957,QRICE,2325.7729999999997
441,PUNJAB,1957,QRICE,168.11
442,BIHAR,1958,QRICE,4590.146
443,HARYANA,1958,QRICE,126.861
444,ANDHRA_PRADESH,1958,QRICE,3282.3
445,WEST_BENGAL,1958,QRICE,4135.010436
446,GUJARAT,1958,QRICE,470.1
447,TAMIL_NADU,1958,QRICE,3133.9
448,UTTAR_PRADESH,1958,QRICE,2826.327
449,KARNATAKA,1958,QRICE,1339.3
450,MADHYA_PRADESH,1958,QRICE,3323.5
451,RAJASTHAN,1958,QRICE,86.4
452,PUNJAB,1958,QRICE,196.95
453,ORISSA,1958,QRICE,2144.167
454,MAHARASHTRA,1958,QRICE,1353.7
455,RAJASTHAN,1959,QRICE,116.0
456,HARYANA,1959,QRICE,150.322
457,MADHYA_PRADESH,1959,QRICE,3206.9
458,BIHAR,1959,QRICE,3889.31
459,UTTAR_PRADESH,1959,QRICE,2258.375
460,WEST_BENGAL,1959,QRICE,4239.3151100000005
461,ANDHRA_PRADESH,1959,QRICE,3403.9
462,GUJARAT,1959,QRICE,474.9
463,ORISSA,1959,QRICE,3717.156
464,TAMIL_NADU,1959,QRICE,3333.0
465,MAHARASHTRA,1959,QRICE,1253.5
466,PUNJAB,1959,QRICE,243.602
467,KARNATAKA,1959,QRICE,1401.1
468,PUNJAB,1960,QRICE,235.25599999999997
469,ORISSA,1960,QRICE,3728.7309999999998
470,UTTAR_PRADESH,1960,QRICE,2944.8379999999997
471,HARYANA,1960,QRICE,179.28799999999998
472,RAJASTHAN,1960,QRICE,64.6
473,ANDHRA_PRADESH,1960,QRICE,3186.3
474,WEST_BENGAL,1960,QRICE,5455.08644
475,MADHYA_PRADESH,1960,QRICE,3479.1
476,GUJARAT,1960,QRICE,301.8
477,TAMIL_NADU,1960,QRICE,3559.2
478,MAHARASHTRA,1960,QRICE,1343.8
479,KARNATAKA,1960,QRICE,1328.3
480,BIHAR,1960,QRICE,4588.524
481,HARYANA,1961,QRICE,210.46400000000003
482,PUNJAB,1961,QRICE,235.955
483,ANDHRA_PRADESH,1961,QRICE,3946.3
484,MADHYA_PRADESH,1961,QRICE,3488.3
485,RAJASTHAN,1961,QRICE,89.4
486,WEST_BENGAL,1961,QRICE,4796.169047
487,TAMIL_NADU,1961,QRICE,3907.2
488,GUJARAT,1961,QRICE,512.0
489,UTTAR_PRADESH,1961,QRICE,3230.7690000000002
490,ORISSA,1961,QRICE,3722.407
491,BIHAR,1961,QRICE,4360.444
492,MAHARASHTRA,1961,QRICE,1481.2
493,KARNATAKA,1961,QRICE,1452.4
494,BIHAR,1962,QRICE,4282.447
495,TAMIL_NADU,1962,QRICE,4024.1
496,MADHYA_PRADESH,1962,QRICE,2348.5
497,ORISSA,1962,QRICE,3721.645
498,WEST_BENGAL,1962,QRICE,4410.250358
499,UTTAR_PRADESH,1962,QRICE,3005.045
500,ANDHRA_PRADESH,1962,QRICE,3720.4
501,KARNATAKA,1962,QRICE,1511.8
502,HARYANA,1962,QRICE,126.42299999999999
503,MAHARASHTRA,1962,QRICE,1076.7
504,GUJARAT,1962,QRICE,400.2
505,PUNJAB,1962,QRICE,267.22700000000003
506,RAJASTHAN,1962,QRICE,99.9
507,MADHYA_PRADESH,1963,QRICE,3303.7
508,WEST_BENGAL,1963,QRICE,5335.875277
509,PUNJAB,1963,QRICE,276.301
510,RAJASTHAN,1963,QRICE,129.2
511,ANDHRA_PRADESH,1963,QRICE,3769.8
512,UTTAR_PRADESH,1963,QRICE,3193.881
513,KARNATAKA,1963,QRICE,1511.1
514,ORISSA,1963,QRICE,4308.474
515,TAMIL_NADU,1963,QRICE,3846.4
516,HARYANA,1963,QRICE,223.75099999999998
517,MAHARASHTRA,1963,QRICE,1509.6
518,GUJARAT,1963,QRICE,399.0
519,BIHAR,1963,QRICE,4560.9929999999995
520,ANDHRA_PRADESH,1964,QRICE,4387.3
521,MAHARASHTRA,1964,QRICE,1451.1
522,ORISSA,1964,QRICE,4420.209
523,GUJARAT,1964,QRICE,471.0
524,PUNJAB,1964,QRICE,343.04699999999997
525,HARYANA,1964,QRICE,258.865
526,WEST_BENGAL,1964,QRICE,5758.364811
527,BIHAR,1964,QRICE,4913.7429999999995
528,UTTAR_PRADESH,1964,QRICE,3247.711
529,KARNATAKA,1964,QRICE,1751.0
530,TAMIL_NADU,1964,QRICE,4036.1
531,RAJASTHAN,1964,QRICE,98.2
532,MADHYA_PRADESH,1964,QRICE,3478.0
533,KARNATAKA,1965,QRICE,1240.1
534,MAHARASHTRA,1965,QRICE,882.5
535,UTTAR_PRADESH,1965,QRICE,2226.949
536,HARYANA,1965,QRICE,204.208
537,ORISSA,1965,QRICE,3286.248
538,MADHYA_PRADESH,1965,QRICE,1698.7
539,RAJASTHAN,1965,QRICE,25.6
540,ANDHRA_PRADESH,1965,QRICE,3360.7
541,WEST_BENGAL,1965,QRICE,4889.94447
542,BIHAR,1965,QRICE,4324.396
543,PUNJAB,1965,QRICE,290.835
544,TAMIL_NADU,1965,QRICE,3524.2
545,GUJARAT,1965,QRICE,255.3
546,BIHAR,1966,QRICE,1571.141
547,ANDHRA_PRADESH,1966,QRICE,3828.0
548,KARNATAKA,1966,QRICE,1649.9
