,STATENAM,YEAR,CROP,AREA
226,PUNJAB,1973,AWHEAT,2275.0
227,MADHYA_PRADESH,1973,AWHEAT,3266.5
228,RAJASTHAN,1973,AWHEAT,1684.5
229,WEST_BENGAL,1973,AWHEAT,217.99
230,KARNATAKA,1973,AWHEAT,340.9
231,UTTAR_PRADESH,1973,AWHEAT,5740.9130000000005
232,BIHAR,1973,AWHEAT,1485.089
233,ANDHRA_PRADESH,1973,AWHEAT,21.7
234,ORISSA,1974,AWHEAT,54.607
235,MADHYA_PRADESH,1974,AWHEAT,2780.5
236,PUNJAB,1974,AWHEAT,2154.0
237,RAJASTHAN,1974,AWHEAT,1409.0
238,GUJARAT,1974,AWHEAT,366.2
239,BIHAR,1974,AWHEAT,1477.839
240,ANDHRA_PRADESH,1974,AWHEAT,24.3
241,WEST_BENGAL,1974,AWHEAT,277.14
242,HARYANA,1974,AWHEAT,1083.5
243,TAMIL_NADU,1974,AWHEAT,0.0
244,UTTAR_PRADESH,1974,AWHEAT,5695.293000000001
245,KARNATAKA,1974,AWHEAT,345.8
246,MAHARASHTRA,1974,AWHEAT,947.7
247,WEST_BENGAL,1975,AWHEAT,333.25
248,ANDHRA_PRADESH,1975,AWHEAT,26.5
249,RAJASTHAN,1975,AWHEAT,1761.4
250,MADHYA_PRADESH,1975,AWHEAT,3351.8
251,GUJARAT,1975,AWHEAT,603.7
252,TAMIL_NADU,1975,AWHEAT,1.7
253,UTTAR_PRADESH,1975,AWHEAT,5757.298000000001
254,ORISSA,1975,AWHEAT,62.937
255,HARYANA,1975,AWHEAT,1184.5
256,KARNATAKA,1975,AWHEAT,406.1
257,BIHAR,1975,AWHEAT,1815.283
258,PUNJAB,1975,AWHEAT,2381.0
259,MAHARASHTRA,1975,AWHEAT,1169.2
260,UTTAR_PRADESH,1976,AWHEAT,6339.3
261,BIHAR,1976,AWHEAT,1913.0
262,ORISSA,1976,AWHEAT,55.449
263,HARYANA,1976,AWHEAT,1240.8
264,ANDHRA_PRADESH,1976,AWHEAT,22.6
265,KARNATAKA,1976,AWHEAT,366.1
266,GUJARAT,1976,AWHEAT,601.4
267,MADHYA_PRADESH,1976,AWHEAT,3134.9
268,MAHARASHTRA,1976,AWHEAT,1168.9
269,WEST_BENGAL,1976,AWHEAT,317.09
270,TAMIL_NADU,1976,AWHEAT,1.4
271,PUNJAB,1976,AWHEAT,2567.3
272,RAJASTHAN,1976,AWHEAT,1793.1
273,GUJARAT,1977,AWHEAT,559.8
274,ORISSA,1977,AWHEAT,67.555
275,ANDHRA_PRADESH,1977,AWHEAT,21.7
276,TAMIL_NADU,1977,AWHEAT,1.5
277,PUNJAB,1977,AWHEAT,2557.0
278,RAJASTHAN,1977,AWHEAT,1804.2
279,MADHYA_PRADESH,1977,AWHEAT,3545.9
280,HARYANA,1977,AWHEAT,1249.5
281,MAHARASHTRA,1977,AWHEAT,1176.4
282,BIHAR,1977,AWHEAT,1726.0
283,KARNATAKA,1977,AWHEAT,379.7
284,WEST_BENGAL,1977,AWHEAT,295.49
285,UTTAR_PRADESH,1977,AWHEAT,6423.7
286,HARYANA,1978,AWHEAT,1360.7
287,RAJASTHAN,1978,AWHEAT,1989.4
288,UTTAR_PRADESH,1978,AWHEAT,7038.4
289,WEST_BENGAL,1978,AWHEAT,293.52
290,MAHARASHTRA,1978,AWHEAT,1144.2
291,TAMIL_NADU,1978,AWHEAT,1.8
292,ANDHRA_PRADESH,1978,AWHEAT,23.2
293,KARNATAKA,1978,AWHEAT,395.2
294,GUJARAT,1978,AWHEAT,619.5
295,BIHAR,1978,AWHEAT,1805.0
296,MADHYA_PRADESH,1978,AWHEAT,3770.2
297,ORISSA,1978,AWHEAT,61.54
298,PUNJAB,1978,AWHEAT,2657.0
299,TAMIL_NADU,1979,AWHEAT,0.0
300,MAHARASHTRA,1979,AWHEAT,1164.0
301,BIHAR,1979,AWHEAT,1699.0
302,PUNJAB,1979,AWHEAT,2724.0
303,HARYANA,1979,AWHEAT,1353.3
304,GUJARAT,1979,AWHEAT,492.7
305,MADHYA_PRADESH,1979,AWHEAT,3071.0
306,WEST_BENGAL,1979,AWHEAT,325.48
307,KARNATAKA,1979,AWHEAT,374.7
308,ANDHRA_PRADESH,1979,AWHEAT,18.0
309,UTTAR_PRADESH,1979,AWHEAT,7211.5
310,RAJASTHAN,1979,AWHEAT,2059.0
311,ORISSA,1979,AWHEAT,51.816
312,ANDHRA_PRADESH,1980,AWHEAT,15.0
313,PUNJAB,1980,AWHEAT,2739.0
314,ORISSA,1980,AWHEAT,66.991
315,KARNATAKA,1980,AWHEAT,321.5
316,TAMIL_NADU,1980,AWHEAT,1.0
317,MAHARASHTRA,1980,AWHEAT,1079.6
318,UTTAR_PRADESH,1980,AWHEAT,7787.0
319,RAJASTHAN,1980,AWHEAT,1632.2
320,MADHYA_PRADESH,1980,AWHEAT,3357.5
321,HARYANA,1980,AWHEAT,1418.0
322,WEST_BENGAL,1980,AWHEAT,283.0
323,BIHAR,1980,AWHEAT,1756.0
324,GUJARAT,1980,AWHEAT,656.1
325,MADHYA_PRADESH,1981,AWHEAT,3297.8
326,RAJASTHAN,1981,AWHEAT,1768.3
327,PUNJAB,1981,AWHEAT,2841.0
328,GUJARAT,1981,AWHEAT,563.3
329,BIHAR,1981,AWHEAT,1641.0
330,ORISSA,1981,AWHEAT,66.04899999999999
331,KARNATAKA,1981,AWHEAT,334.4
332,MAHARASHTRA,1981,AWHEAT,1128.0
333,TAMIL_NADU,1981,AWHEAT,0.0
334,HARYANA,1981,AWHEAT,1427.0
335,ANDHRA_PRADESH,1981,AWHEAT,17.0
336,UTTAR_PRADESH,1981,AWHEAT,7611.7
337,WEST_BENGAL,1981,AWHEAT,213.20000090000002
338,WEST_BENGAL,1982,AWHEAT,266.207
339,GUJARAT,1982,AWHEAT,519.5
340,RAJASTHAN,1982,AWHEAT,2066.0
341,HARYANA,1982,AWHEAT,1571.3
342,MADHYA_PRADESH,1982,AWHEAT,3430.6
343,BIHAR,1982,AWHEAT,1692.435
344,KARNATAKA,1982,AWHEAT,335.0
345,ANDHRA_PRADESH,1982,AWHEAT,18.5
346,MAHARASHTRA,1982,AWHEAT,1022.9
347,TAMIL_NADU,1982,AWHEAT,0.5
348,ORISSA,1982,AWHEAT,63.451
349,PUNJAB,1982,AWHEAT,2972.0
350,UTTAR_PRADESH,1982,AWHEAT,7977.6
351,MADHYA_PRADESH,1983,AWHEAT,3583.4
352,UTTAR_PRADESH,1983,AWHEAT,8298.8
353,WEST_BENGAL,1983,AWHEAT,329.145
354,HARYANA,1983,AWHEAT,1630.9
355,KARNATAKA,1983,AWHEAT,321.2
356,ORISSA,1983,AWHEAT,56.284
357,RAJASTHAN,1983,AWHEAT,2164.7
358,TAMIL_NADU,1983,AWHEAT,0.6
359,MAHARASHTRA,1983,AWHEAT,1183.2
360,GUJARAT,1983,AWHEAT,741.1
361,BIHAR,1983,AWHEAT,1891.5020000000002
362,ANDHRA_PRADESH,1983,AWHEAT,15.6
363,PUNJAB,1983,AWHEAT,3048.0
364,MADHYA_PRADESH,1984,AWHEAT,3528.6
365,MAHARASHTRA,1984,AWHEAT,988.6
366,UTTAR_PRADESH,1984,AWHEAT,8315.312
367,ANDHRA_PRADESH,1984,AWHEAT,14.7
368,TAMIL_NADU,1984,AWHEAT,0.44
369,KARNATAKA,1984,AWHEAT,328.431
370,HARYANA,1984,AWHEAT,1613.0
371,WEST_BENGAL,1984,AWHEAT,335.92400000000004
372,PUNJAB,1984,AWHEAT,2640.0
373,GUJARAT,1984,AWHEAT,636.9
374,RAJASTHAN,1984,AWHEAT,1691.015
375,BIHAR,1984,AWHEAT,1876.076
376,ORISSA,1984,AWHEAT,54.076
377,HARYANA,1985,AWHEAT,1608.00001
378,TAMIL_NADU,1985,AWHEAT,0.71
379,MADHYA_PRADESH,1985,AWHEAT,3594.4
380,KARNATAKA,1985,AWHEAT,272.884
381,UTTAR_PRADESH,1985,AWHEAT,8036.634
382,ORISSA,1985,AWHEAT,55.951
383,WEST_BENGAL,1985,AWHEAT,305.861
384,BIHAR,1985,AWHEAT,1834.5420000000001
385,ANDHRA_PRADESH,1985,AWHEAT,13.2
386,MAHARASHTRA,1985,AWHEAT,881.5
387,GUJARAT,1985,AWHEAT,431.4
388,PUNJAB,1985,AWHEAT,2661.0
389,RAJASTHAN,1985,AWHEAT,1741.3670000000002
390,PUNJAB,1986,AWHEAT,2721.0
391,RAJASTHAN,1986,AWHEAT,1811.836
392,HARYANA,1986,AWHEAT,1690.9999899999998
393,MADHYA_PRADESH,1986,AWHEAT,3243.4
394,MAHARASHTRA,1986,AWHEAT,735.5
395,TAMIL_NADU,1986,AWHEAT,0.35600000000000004
396,ANDHRA_PRADESH,1986,AWHEAT,10.6
397,GUJARAT,1986,AWHEAT,315.1
398,WEST_BENGAL,1986,AWHEAT,397.664
399,ORISSA,1986,AWHEAT,46.836000000000006
400,UTTAR_PRADESH,1986,AWHEAT,8016.564
401,KARNATAKA,1986,AWHEAT,306.453
402,BIHAR,1986,AWHEAT,1839.648
403,UTTAR_PRADESH,1987,AWHEAT,8265.402
404,PUNJAB,1987,AWHEAT,2669.0
405,BIHAR,1987,AWHEAT,1934.9189999999999
406,MAHARASHTRA,1987,AWHEAT,799.3
407,ANDHRA_PRADESH,1987,AWHEAT,11.8
408,KARNATAKA,1987,AWHEAT,262.366
409,TAMIL_NADU,1987,AWHEAT,0.12300000000000001
410,HARYANA,1987,AWHEAT,1637.0
411,GUJARAT,1987,AWHEAT,192.4
412,RAJASTHAN,1987,AWHEAT,1502.2520000000002
413,ORISSA,1987,AWHEAT,45.7
414,MADHYA_PRADESH,1987,AWHEAT,3549.2
415,WEST_BENGAL,1987,AWHEAT,374.186
416,BIHAR,1956,ARICE,4982.911
417,HARYANA,1956,ARICE,98.26899999999999
418,WEST_BENGAL,1956,ARICE,4445.184679999999
419,MADHYA_PRADESH,1956,ARICE,3889.4
420,KARNATAKA,1956,ARICE,942.6
421,UTTAR_PRADESH,1956,ARICE,3696.1809999999996
422,GUJARAT,1956,ARICE,482.0
423,RAJASTHAN,1956,ARICE,93.3
424,ORISSA,1956,ARICE,3886.21
425,ANDHRA_PRADESH,1956,ARICE,2590.5
426,PUNJAB,1956,ARICE,155.66299999999998
427,MAHARASHTRA,1956,ARICE,1204.6
428,TAMIL_NADU,1956,ARICE,2316.4
429,MADHYA_PRADESH,1957,ARICE,3921.3
430,MAHARASHTRA,1957,ARICE,1241.4
431,WEST_BENGAL,1957,ARICE,4406.27852
432,UTTAR_PRADESH,1957,ARICE,3736.6820000000002
433,HARYANA,1957,ARICE,100.934
434,ORISSA,1957,ARICE,3896.219
435,TAMIL_NADU,1957,ARICE,2266.5
436,ANDHRA_PRADESH,1957,ARICE,2487.0
437,GUJARAT,1957,ARICE,492.9
438,KARNATAKA,1957,ARICE,959.0
439,RAJASTHAN,1957,ARICE,68.3
440,BIHAR,1957,ARICE,4942.319
441,PUNJAB,1957,ARICE,174.537
442,BIHAR,1958,ARICE,5233.772
443,HARYANA,1958,ARICE,115.876
444,ANDHRA_PRADESH,1958,ARICE,2661.0
445,WEST_BENGAL,1958,ARICE,4265.58905
446,GUJARAT,1958,ARICE,487.9
447,TAMIL_NADU,1958,ARICE,2272.6
448,UTTAR_PRADESH,1958,ARICE,3969.134
449,KARNATAKA,1958,ARICE,1000.0
450,MADHYA_PRADESH,1958,ARICE,3980.8
451,RAJASTHAN,1958,ARICE,78.7
452,PUNJAB,1958,ARICE,200.5
453,ORISSA,1958,ARICE,3910.5209999999997
454,MAHARASHTRA,1958,ARICE,1255.9
455,RAJASTHAN,1959,ARICE,100.2
456,HARYANA,1959,ARICE,130.60299999999998
457,MADHYA_PRADESH,1959,ARICE,4071.6
458,BIHAR,1959,ARICE,4970.913
459,UTTAR_PRADESH,1959,ARICE,3984.1620000000003
460,WEST_BENGAL,1959,ARICE,4419.272064
461,ANDHRA_PRADESH,1959,ARICE,2725.4
462,GUJARAT,1959,ARICE,572.5
463,ORISSA,1959,ARICE,4287.512
464,TAMIL_NADU,1959,ARICE,2315.3
465,MAHARASHTRA,1959,ARICE,1271.7
466,PUNJAB,1959,ARICE,217.49099999999999
467,KARNATAKA,1959,ARICE,1010.8
468,PUNJAB,1960,ARICE,228.301
469,ORISSA,1960,ARICE,3783.7329999999997
470,UTTAR_PRADESH,1960,ARICE,4020.305
471,HARYANA,1960,ARICE,159.267
472,RAJASTHAN,1960,ARICE,99.3
473,ANDHRA_PRADESH,1960,ARICE,2602.0
474,WEST_BENGAL,1960,ARICE,4606.52143
475,MADHYA_PRADESH,1960,ARICE,4120.2
476,GUJARAT,1960,ARICE,533.2
477,TAMIL_NADU,1960,ARICE,2517.7
478,MAHARASHTRA,1960,ARICE,1296.6
479,KARNATAKA,1960,ARICE,1028.6
480,BIHAR,1960,ARICE,5319.768
481,HARYANA,1961,ARICE,169.36599999999999
482,PUNJAB,1961,ARICE,226.952
483,ANDHRA_PRADESH,1961,ARICE,3017.5
484,MADHYA_PRADESH,1961,ARICE,4167.4
485,RAJASTHAN,1961,ARICE,101.1
486,WEST_BENGAL,1961,ARICE,4421.22836
487,TAMIL_NADU,1961,ARICE,2537.9
488,GUJARAT,1961,ARICE,563.0
489,UTTAR_PRADESH,1961,ARICE,4080.303
490,ORISSA,1961,ARICE,4074.824
491,BIHAR,1961,ARICE,5091.3640000000005
492,MAHARASHTRA,1961,ARICE,1316.0
493,KARNATAKA,1961,ARICE,1057.6
494,BIHAR,1962,ARICE,5197.362
495,TAMIL_NADU,1962,ARICE,2665.9
496,MADHYA_PRADESH,1962,ARICE,4232.2
497,ORISSA,1962,ARICE,4436.33
498,WEST_BENGAL,1962,ARICE,4446.64538
499,UTTAR_PRADESH,1962,ARICE,4158.353
500,ANDHRA_PRADESH,1962,ARICE,3094.5
501,KARNATAKA,1962,ARICE,1085.6
502,HARYANA,1962,ARICE,167.68099999999998
503,MAHARASHTRA,1962,ARICE,1284.6
504,GUJARAT,1962,ARICE,544.8
505,PUNJAB,1962,ARICE,247.69
506,RAJASTHAN,1962,ARICE,116.0
507,MADHYA_PRADESH,1963,ARICE,4221.1
508,WEST_BENGAL,1963,ARICE,4535.248970000001
509,PUNJAB,1963,ARICE,254.87599999999998
510,RAJASTHAN,1963,ARICE,113.6
511,ANDHRA_PRADESH,1963,ARICE,2990.5
512,UTTAR_PRADESH,1963,ARICE,4255.48
513,KARNATAKA,1963,ARICE,1108.6
514,ORISSA,1963,ARICE,4308.789000000001
515,TAMIL_NADU,1963,ARICE,2619.0
516,HARYANA,1963,ARICE,158.411
517,MAHARASHTRA,1963,ARICE,1348.8
518,GUJARAT,1963,ARICE,548.2
519,BIHAR,1963,ARICE,5324.741
520,ANDHRA_PRADESH,1964,ARICE,3074.1
521,MAHARASHTRA,1964,ARICE,1363.3
522,ORISSA,1964,ARICE,4330.090999999999
523,GUJARAT,1964,ARICE,548.6
524,PUNJAB,1964,ARICE,280.36400000000003
525,HARYANA,1964,ARICE,178.433
526,WEST_BENGAL,1964,ARICE,4673.014955
527,BIHAR,1964,ARICE,5309.408
528,UTTAR_PRADESH,1964,ARICE,4363.687
529,KARNATAKA,1964,ARICE,1163.0
530,TAMIL_NADU,1964,ARICE,2626.1
531,RAJASTHAN,1964,ARICE,106.0
532,MADHYA_PRADESH,1964,ARICE,4286.3
533,KARNATAKA,1965,ARICE,1148.9
534,MAHARASHTRA,1965,ARICE,1252.5
535,UTTAR_PRADESH,1965,ARICE,4109.795722999999
536,HARYANA,1965,ARICE,201.736
537,ORISSA,1965,ARICE,4261.05
538,MADHYA_PRADESH,1965,ARICE,4175.2
539,RAJASTHAN,1965,ARICE,94.0
540,ANDHRA_PRADESH,1965,ARICE,2773.5
541,WEST_BENGAL,1965,ARICE,4652.289470000001
542,BIHAR,1965,ARICE,5244.49
543,PUNJAB,1965,ARICE,295.08099999999996
544,TAMIL_NADU,1965,ARICE,2501.9
545,GUJARAT,1965,ARICE,536.2
546,BIHAR,1966,ARICE,4417.759
547,ANDHRA_PRADESH,1966,ARICE,2965.9
548,KARNATAKA,1966,ARICE,1188.6
